latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.690685,-79.41174,99,-14400,America/Toronto,GMT-4
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),surface_pressure (hPa)
2024-03-16T11:00,3.7,80,0,19.1,997.6
2024-03-16T12:00,5.1,75,0.1,22.5,996.6
2024-03-16T13:00,6.8,68,0,17.4,995.5
2024-03-16T14:00,7.9,67,0,21.7,993.5
2024-03-16T15:00,8.4,64,0,25.6,991.6
2024-03-16T16:00,8.2,62,0,25.2,989.9
2024-03-16T17:00,8.5,61,0,26.5,989.2
2024-03-16T18:00,8.9,59,0,25.9,988.3
2024-03-16T19:00,8.8,63,0.1,29.2,987.6
2024-03-16T20:00,6.9,86,2.3,23.7,987.6
2024-03-16T21:00,7.4,88,1.1,19.1,987
2024-03-16T22:00,6.8,91,0.2,16.7,986.8
2024-03-16T23:00,6.6,91,0.1,13.2,986.5
2024-03-17T00:00,6.4,88,0,15.8,986.6
2024-03-17T01:00,4.6,88,0.1,13.4,987.3
2024-03-17T02:00,3.3,90,0,15,987.8
2024-03-17T03:00,2.2,89,0,15.6,987.9
2024-03-17T04:00,2,89,0,15.1,988
2024-03-17T05:00,1.8,88,0,15.6,988.2
2024-03-17T06:00,1.8,84,0,20.3,988.9
2024-03-17T07:00,1,82,0,20.2,989.7
2024-03-17T08:00,0.9,82,0,17.4,990.1
2024-03-17T09:00,2.7,76,0,19.9,989.9
2024-03-17T10:00,3.5,71,0,21.1,990.1
2024-03-17T11:00,4.6,61,0,20.5,990.5
2024-03-17T12:00,5.6,53,0,22,990.9
2024-03-17T13:00,6.3,48,0,23.6,990.8
2024-03-17T14:00,6.3,44,0.1,24.1,990.8
2024-03-17T15:00,6.2,41,0,24.1,990.5
2024-03-17T16:00,6.6,38,0,23.7,990.4
2024-03-17T17:00,6.2,37,0,23.4,991.1
2024-03-17T18:00,5.4,39,0,22.4,991.7
2024-03-17T19:00,3.6,46,0,19.2,992.7
2024-03-17T20:00,2,49,0,17.4,993.8
2024-03-17T21:00,0.6,57,0,12.9,994.8
2024-03-17T22:00,-0.2,62,0,13.8,995.2
2024-03-17T23:00,-0.9,68,0,14.5,995.3
2024-03-18T00:00,-1.3,72,0,15.1,995.4
2024-03-18T01:00,-1,69,0,16.2,995.4
2024-03-18T02:00,-0.9,55,0,21.1,995.5
2024-03-18T03:00,-1.5,55,0,20.6,995.6
2024-03-18T04:00,-2,56,0,19.4,995.5
2024-03-18T05:00,-2.3,57,0,18.1,995.4
2024-03-18T06:00,-1.9,56,0,18.5,995.8
2024-03-18T07:00,-2.5,61,0,17.2,996
2024-03-18T08:00,-2.3,63,0,17.5,996.4
2024-03-18T09:00,-0.8,61,0,19.8,996.8
2024-03-18T10:00,-0.2,62,0,21,996.8
2024-03-18T11:00,1.9,58,0,22.5,996.4
2024-03-18T12:00,3.6,55,0.1,22.3,996.3
2024-03-18T13:00,3.3,57,0.1,19.2,996.3
2024-03-18T14:00,3.8,55,0.3,18.8,996.1
2024-03-18T15:00,4.1,49,0,19.6,995.9
2024-03-18T16:00,3.5,49,0,22.3,996
2024-03-18T17:00,2.8,51,0,22.6,996.3
2024-03-18T18:00,2,52,0,22.5,996.7
2024-03-18T19:00,1.1,54,0,19.9,997.1
2024-03-18T20:00,0.2,57,0,17.1,997.9
2024-03-18T21:00,-0.5,58,0,19.1,998.8
2024-03-18T22:00,-0.9,57,0,21.1,999
2024-03-18T23:00,-1.1,55,0,21.3,999.2
2024-03-19T00:00,-1.2,57,0,19.7,999.1
2024-03-19T01:00,-1.2,59,0,15.8,998.8
2024-03-19T02:00,-1.4,60,0,13,998.5
2024-03-19T03:00,-1.8,63,0,12.5,998.3
2024-03-19T04:00,-1.3,67,0,15.3,997.8
2024-03-19T05:00,-1.2,71,0,15.3,997.1
2024-03-19T06:00,-1.2,68,0,14.4,996.6
2024-03-19T07:00,-1.4,62,0,15.7,996.2
